Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
American Samoa,ASM,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
Andorra,AND,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,..,..,..,..,..
Andorra,AND,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..,..,..,..,..
Andorra,AND,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
Andorra,AND,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
Angola,AGO,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.102000237,3.645999908,3.338000059,3.967999935,4.934000015
Angola,AGO,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,50.75,49.2840004,48.88199997,48.89599991,49.1590004
Angola,AGO,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,8.600999832,8.949000359,9.263999939,8.927000046,8.88599968
Angola,AGO,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,40.64799881,41.76699829,41.85400009,42.17699814,41.95500183
Antigua and Barbuda,ATG,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
Antigua and Barbuda,ATG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
Arab World,ARB,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,6.720282769,6.054810404,6.48126702,5.933095183,5.331270482
Arab World,ARB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,23.85935564,23.77103978,23.9445999,23.83176625,23.6672622
Arab World,ARB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,25.73899683,25.6153243,26.1097773,26.40796424,26.46579751
Arab World,ARB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,50.40159335,50.61368457,49.94571477,49.76014362,49.86706928
Argentina,ARG,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.163000107,4.301000118,3.83100009,3.785000086,3.953999996
Argentina,ARG,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,0.615999997,0.619000018,0.549000025,0.518000007,0.551999986
Argentina,ARG,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,23.65600014,23.94499969,24.15699959,23.75099945,23.625
Argentina,ARG,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,75.72799683,75.43499756,75.29399872,75.73000336,75.8219986
Armenia,ARM,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,0.56099999,0.481000006,1.457000017,0.933000028,0.897000015
Armenia,ARM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,37.27600098,36.27199936,34.82600021,35.32899857,34.05099869
Armenia,ARM,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,17.69199944,17.01199913,16.72800064,15.90999985,15.8380003
Armenia,ARM,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,45.0320015,46.7159996,48.44599915,48.76100159,50.11100006
Aruba,ABW,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,..,..,..,..,..
Aruba,ABW,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..,..,..,..,..
Aruba,ABW,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
Aruba,ABW,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
Australia,AUS,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,6.382999897,6.335999966,6.320000172,6.228000164,6.21999979
Australia,AUS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,2.799999952,2.615999937,2.802000046,2.644000053,2.631000042
Australia,AUS,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,20.71899986,20.48900032,20.3409996,19.45400047,19.42099953
Australia,AUS,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,76.48100281,76.89499664,76.85700226,77.90100098,77.94799805
Austria,AUT,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.642000198,4.506000042,4.725999832,4.526000023,4.559999943
Austria,AUT,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,4.675000191,4.576000214,4.836999893,4.531000137,4.34800005
Austria,AUT,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,26.07999992,25.90699959,25.75099945,25.76399994,25.56299973
Austria,AUT,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,69.24500275,69.51699829,69.41200256,69.70500183,70.08899689
Azerbaijan,AZE,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,9.56799984,10.08100033,9.996999741,12.34700012,13.13099957
Azerbaijan,AZE,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,37.65299988,37.10100174,36.75299835,36.35599899,36.3370018
Azerbaijan,AZE,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,14.2869997,14.375,14.3039999,14.06400013,14.32800007
Azerbaijan,AZE,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,48.06000137,48.52399826,48.94200134,49.58000183,49.33499908
"Bahamas, The",BHS,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,3.806999922,3.799000025,3.720000029,4.152999878,4.271999836
"Bahamas, The",BHS,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,3.66899991,3.612999916,3.767999887,3.90899992,3.923000097
"Bahamas, The",BHS,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,13.45699978,13.63599968,13.97099972,12.11299992,11.77900028
"Bahamas, The",BHS,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,82.875,82.75099945,82.26100159,83.97799683,84.29699707
Bahrain,BHR,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,1.92900002,1.888000011,1.853000045,1.672000051,1.460000038
Bahrain,BHR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,1.074000001,1.041000009,0.985000014,0.936999977,0.97299999
Bahrain,BHR,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,35.06499863,34.57899857,34.89199829,35.37099838,35.72999954
Bahrain,BHR,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,63.86100006,64.37999725,64.1230011,63.69300079,63.29600143
Bangladesh,BGD,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,2.460999966,2.559000015,2.635999918,2.694000006,2.801000118
Bangladesh,BGD,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,47.31200027,45.09899902,44.50099945,42.66500092,41.14099884
Bangladesh,BGD,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,18.78800011,20.78899956,20.16600037,20.45999908,20.83799934
Bangladesh,BGD,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,33.90000153,34.11199951,35.33300018,36.87599945,38.02099991
Barbados,BRB,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,0.852999985,0.878000021,0.889999986,0.874000013,0.865999997
Barbados,BRB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,2.796000004,2.694000006,2.885999918,2.891000032,2.857000113
Barbados,BRB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,19.16900063,19.6609993,20.37400055,19.29700089,19.32299995
Barbados,BRB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,78.03500366,77.64499664,76.73999786,77.81300354,77.81999969
Belarus,BLR,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,1.059999943,0.963,0.967000008,0.763000011,0.73299998
Belarus,BLR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,9.890999794,9.595000267,9.571000099,9.508000374,9.730999947
Belarus,BLR,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,34.7879982,34.43199921,33.6609993,32.4070015,31.52199936
Belarus,BLR,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,55.32099915,55.97399902,56.76699829,58.08499908,58.7480011
Belgium,BEL,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.107999802,4.311999798,4.120999813,4.309000015,4.168000221
Belgium,BEL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,1.172000051,1.360000014,1.218000054,1.177000046,1.251000047
Belgium,BEL,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,21.75600052,21.70400047,21.39299965,21.43400002,21.26300049
Belgium,BEL,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,77.0719986,76.93699646,77.38899994,77.38899994,77.48600006
Belize,BLZ,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,5.789999962,5.954999924,6.047999859,6.203000069,5.129000187
Belize,BLZ,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,16.67399979,16.7859993,16.28800011,15.93700027,15.04699993
Belize,BLZ,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,17.77799988,17.03899956,16.77000046,16.16300011,15.15100002
Belize,BLZ,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,65.54799652,66.17500305,66.94200134,67.90000153,69.80200195
Benin,BEN,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,1.205000043,1.16900003,1.197000027,1.325000048,1.263000011
Benin,BEN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,43.0890007,41.84700012,41.13700104,41.81900024,41.31900024
Benin,BEN,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,17.83399963,18.53800011,18.76399994,18.15399933,18.14699936
Benin,BEN,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,39.07699966,39.61500168,40.09899902,40.02700043,40.5340004
Bermuda,BMU,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,..,..,..,..,..
Bermuda,BMU,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..,..,..,..,..
Bermuda,BMU,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
Bermuda,BMU,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
Bhutan,BTN,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,0.082999997,0.088,0.086999997,0.090999998,0.086000003
Bhutan,BTN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,62.20999908,56.34400177,56.65100098,57.98600006,56.75699997
Bhutan,BTN,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,8.647000313,10.95800018,10.82199955,9.661000252,9.579000473
Bhutan,BTN,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,29.14299965,32.69800186,32.52700043,32.35300064,33.66400146
Bolivia,BOL,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,2.867000103,2.986000061,3.128000021,3.548000097,3.755000114
Bolivia,BOL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,27.79100037,29.22800064,30.85199928,27.84799957,27.35199928
Bolivia,BOL,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,20.59799957,19.83399963,20.62999916,22.52799988,22.62599945
Bolivia,BOL,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,51.61100006,50.93799973,48.51800156,49.62400055,50.02199936
Bosnia and Herzegovina,BIH,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.139999866,4.590000153,4.583000183,4.40899992,4.604000092
Bosnia and Herzegovina,BIH,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,19.37599945,18.90600014,17.07900047,17.87599945,19.24399948
Bosnia and Herzegovina,BIH,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,29.00499916,29.18899918,30.00300026,37.54199982,32.26200104
Bosnia and Herzegovina,BIH,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,51.61899948,51.90499878,52.91799927,44.58300018,48.49399948
Botswana,BWA,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,3.362999916,2.961999893,3.724999905,3.848999977,2.917999983
Botswana,BWA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,27.9279995,26.77400017,26.37400055,26.90699959,26.04899979
Botswana,BWA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,13.8739996,13.74300003,13.70600033,13.80799961,13.56499958
Botswana,BWA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,58.19800186,59.48199844,59.91999817,59.28499985,60.38600159
Brazil,BRA,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.019000053,4.152999878,4.152999878,4.414000034,4.397999763
Brazil,BRA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,11.49600029,11.19900036,10.37100029,10.24199963,10.18200016
Brazil,BRA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,23.01399994,22.93700027,22.88199997,22.1590004,20.86899948
Brazil,BRA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,65.48999786,65.86399841,66.7460022,67.59899902,68.9489975
British Virgin Islands,VGB,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,..,..,..,..,..
British Virgin Islands,VGB,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..,..,..,..,..
British Virgin Islands,VGB,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
British Virgin Islands,VGB,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
Brunei Darussalam,BRN,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.962999821,4.270999908,3.721999884,2.664999962,2.119999886
Brunei Darussalam,BRN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,0.621999979,0.602999985,0.550000012,0.574000001,0.583999991
Brunei Darussalam,BRN,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,19.5720005,19.82600021,18.62999916,18.56999969,17.9810009
Brunei Darussalam,BRN,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,79.80599976,79.57099915,80.81999969,80.85600281,81.43399811
Bulgaria,BGR,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,3.572999954,3.930000067,3.818000078,3.584000111,3.565999985
Bulgaria,BGR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,6.440000057,6.659999847,7.007999897,6.855999947,6.752999783
Bulgaria,BGR,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,31.3220005,30.18700027,30.11499977,29.89500046,29.79000092
Bulgaria,BGR,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,62.23799896,63.15299988,62.8769989,63.24900055,63.45700073
Burkina Faso,BFA,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,0.704999983,0.672999978,0.699999988,0.731999993,0.713999987
Burkina Faso,BFA,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,47.54499817,40.42399979,30.66399956,29.44199944,28.92200089
Burkina Faso,BFA,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,17.05500031,20.86800003,31.71100044,32.01599884,31.90399933
Burkina Faso,BFA,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,35.40000153,38.70800018,37.625,38.54199982,39.17399979
Burundi,BDI,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,0.75,0.741999984,0.790000021,0.931999981,0.882000029
Burundi,BDI,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,91.36399841,91.22299957,91.10299683,91.56099701,91.36699677
Burundi,BDI,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,2.453000069,2.467999935,2.549000025,2.372999907,2.407999992
Burundi,BDI,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,6.183000088,6.309000015,6.34800005,6.065000057,6.224999905
Cabo Verde,CPV,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,2.513999939,2.569999933,2.663000107,2.578999996,2.374000072
Cabo Verde,CPV,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,68.99500275,68.76100159,68.65499878,68.65799713,67.88899994
Cabo Verde,CPV,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,6.708000183,6.596000195,6.922999859,6.954999924,6.875999928
Cabo Verde,CPV,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,24.29800034,24.64299965,24.42200089,24.38699913,25.23500061
Cambodia,KHM,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,0.400999993,0.409000009,0.398999989,0.423999995,0.44600001
Cambodia,KHM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,33.24599838,32.13800049,30.47400093,28.79999924,27.43600082
Cambodia,KHM,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,25.24200058,25.54199982,26.05999947,26.83099937,27.05200005
Cambodia,KHM,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,41.51100159,42.31999969,43.4659996,44.36999893,45.51100159
Cameroon,CMR,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,3.825999975,3.71600008,3.734999895,3.585999966,3.532000065
Cameroon,CMR,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,64.29199982,63.62900162,62.93000031,62.34799957,62.03699875
Cameroon,CMR,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,9.034999847,9.034000397,9.177000046,9.170000076,9.298999786
Cameroon,CMR,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,26.67300034,27.33699989,27.89299965,28.48200035,28.66500092
Canada,CAN,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.732999802,4.745999813,4.644999981,4.761000156,4.610000134
Canada,CAN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,2.191999912,2.13499999,2.061000109,2.012000084,1.947999954
Canada,CAN,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,19.92200089,19.77099991,19.58099937,19.43199921,19.51300049
Canada,CAN,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,77.88600159,78.09300232,78.35800171,78.55599976,78.53900146
Cayman Islands,CYM,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,..,..,..,..,..
Cayman Islands,CYM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..,..,..,..,..
Cayman Islands,CYM,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,..,..,..,..,..
Cayman Islands,CYM,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,..,..,..,..,..
Central African Republic,CAF,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,1.389999986,5.011000156,1.95599997,1.761999965,1.748000026
Central African Republic,CAF,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,86.13600159,85.6740036,85.48699951,85.6269989,85.62799835
Central African Republic,CAF,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,6.90500021,8.229000092,8.168999672,8.017999649,7.921000004
Central African Republic,CAF,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,6.958000183,6.097000122,6.343999863,6.354000092,6.449999809
Chad,TCD,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,0.231000006,0.254999995,0.247999996,0.275000006,0.338
Chad,TCD,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,86.62799835,86.09200287,85.48200226,85.93900299,87.24900055
Chad,TCD,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,6.046999931,6.377999783,6.855999947,6.406000137,4.745999813
Chad,TCD,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,7.324999809,7.53000021,7.662000179,7.656000137,8.00399971
Channel Islands,CHI,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.596000195,4.626999855,4.681000233,4.592999935,4.570000172
Channel Islands,CHI,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,20.87899971,20.70199966,20.40800095,20.14900017,19.99500084
Channel Islands,CHI,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,30.06999969,30.04500008,29.97900009,29.9090004,29.82900047
Channel Islands,CHI,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,49.05099869,49.25299835,49.61199951,49.94200134,50.17599869
Chile,CHL,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.168000221,4.284999847,4.206999779,4.163000107,4.072999954
Chile,CHL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,9.982000351,9.475000381,9.402000427,9.376999855,9.479999542
Chile,CHL,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,23.82999992,23.87800026,23.48699951,23.2840004,23.01099968
Chile,CHL,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,66.18800354,66.64800262,67.11100006,67.33799744,67.50900269
China,CHN,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,3.618000031,3.595999956,3.608999968,3.40199995,3.355000019
China,CHN,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,23.16900063,21.9279995,20.72999954,19.54800034,18.35700035
China,CHN,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,29.48399925,28.83399963,28.06399918,27.10199928,26.79100037
China,CHN,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,47.34799957,49.23799896,51.20600128,53.35100174,54.85200119
Colombia,COL,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,5.089000225,4.686999798,4.368999958,4.039999962,3.936000109
Colombia,COL,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,17.48399925,16.63199997,16.0739994,15.99100018,16.08699989
Colombia,COL,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,20.59499931,19.53700066,19.82299995,19.61400032,19.27899933
Colombia,COL,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,61.92100143,63.83100128,64.10299683,64.39499664,64.63400269
Comoros,COM,"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,4.863999844,4.842000008,5.107999802,5.269999981,5.190999985
Comoros,COM,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,55.45000076,55.0719986,54.98300171,55.35300064,55.23300171
Comoros,COM,Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS,14.93299961,15.26900005,15.57699966,15.11100006,15.31599998
Comoros,COM,Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS,29.61599922,29.6590004,29.44099998,29.5359993,29.45100021
